"sentID","compLower","popularity","nComp","percent","above70"
1,"de koffie",28,52,53.8461538461538,0
2,"een boek",20,51,39.2156862745098,0
3,"de chocolade",21,52,40.3846153846154,0
4,"de fiets",48,50,96,1
5,"de schat",50,52,96.1538461538462,1
6,"het zwembad",52,52,100,1
7,"de thee",48,50,96,1
8,"de oven",50,52,96.1538461538462,1
9,"de cadeautjes",37,52,71.1538461538462,1
10,"het team",39,52,75,1
11,"de post",43,52,82.6923076923077,1
12,"de auto",41,52,78.8461538461538,1
13,"de dokter",39,52,75,1
15,"het gangpad",25,52,48.0769230769231,0
16,"de krant",47,52,90.3846153846154,1
17,"de stoel",52,52,100,1
18,"de stad",27,52,51.9230769230769,0
19,"het raam",33,52,63.4615384615385,0
20,"de afwas",49,52,94.2307692307692,1
21,"de weg",39,52,75,1
22,"het bord",49,52,94.2307692307692,1
23,"het antwoord",40,52,76.9230769230769,1
24,"het strand",37,51,72.5490196078431,1
25,"het bos",45,52,86.5384615384615,1
26,"het kampvuur",38,52,73.0769230769231,1
27,"het schoolplein",39,52,75,1
28,"het ontbijt",48,51,94.1176470588235,1
29,"de kast",45,51,88.2352941176471,1
30,"de sneeuw",52,52,100,1
31,"de brievenbus",36,51,70.5882352941177,1
32,"het licht",47,52,90.3846153846154,1
33,"het journaal",45,52,86.5384615384615,1
34,"de wekker",51,52,98.0769230769231,1
35,"het internet",25,47,53.1914893617021,0
36,"de supermarkt",38,52,73.0769230769231,1
37,"het lichaam",21,48,43.75,0
38,"het publiek",45,48,93.75,1
39,"de bioscoop",43,49,87.7551020408163,1
40,"de tuin",48,49,97.9591836734694,1
41,"de badmeester",41,49,83.6734693877551,1
42,"de politie",49,49,100,1
43,"de taart",47,49,95.9183673469388,1
44,"de kluis",45,49,91.8367346938776,1
45,"het stopcontact",44,48,91.6666666666667,1
46,"de gordijnen",40,49,81.6326530612245,1
47,"de bibliotheek",43,48,89.5833333333333,1
48,"de trommel",31,47,65.9574468085106,0
49,"de muizen",36,48,75,1
50,"het sprookje",36,48,75,1
51,"het vliegtuig",41,47,87.2340425531915,1
52,"het schilderij",29,49,59.1836734693878,0
53,"het bruidspaar",34,47,72.3404255319149,1
54,"de apotheek",43,49,87.7551020408163,1
55,"het bereik",21,48,43.75,0
56,"de pasta",18,48,37.5,0
57,"de kapstok",48,49,97.9591836734694,1
58,"de muur",47,49,95.9183673469388,1
59,"het internet",46,47,97.8723404255319,1
60,"de ober",20,49,40.8163265306122,0
61,"het glas",19,47,40.4255319148936,0
62,"het woordenboek",45,49,91.8367346938776,1
63,"het verkeer",45,48,93.75,1
64,"de vergadering",40,48,83.3333333333333,1
65,"het spel",22,48,45.8333333333333,0
66,"het casino",39,49,79.5918367346939,1
67,"de bel",45,49,91.8367346938776,1
68,"het cafe",40,49,81.6326530612245,1
69,"het geluid",36,46,78.2608695652174,1
70,"de sportschool",35,49,71.4285714285714,1
71,"de wieg",21,46,45.6521739130435,0
72,"de telescoop",23,49,46.9387755102041,0
73,"het scherm",35,53,66.0377358490566,0
74,"de spiegel",49,52,94.2307692307692,1
75,"het jaar",53,53,100,1
76,"de menukaart",22,52,42.3076923076923,0
77,"het aanrecht",48,52,92.3076923076923,1
78,"de duisternis",16,52,30.7692307692308,0
79,"de wolf",42,45,93.3333333333333,1
80,"de lucht",53,53,100,1
81,"het huis",22,53,41.5094339622642,0
82,"de auto",30,53,56.6037735849057,0
83,"het krijt",40,53,75.4716981132076,1
84,"de hoek",43,50,86,1
85,"de kameel",49,52,94.2307692307692,1
86,"de stroom",36,53,67.9245283018868,0
87,"het hart",50,53,94.3396226415094,1
88,"de sloot",51,53,96.2264150943396,1
89,"het net",51,52,98.0769230769231,1
90,"de airco",41,53,77.3584905660377,1
91,"een aansteker",33,50,66,0
92,"de maand",52,53,98.1132075471698,1
93,"het hotel",50,53,94.3396226415094,1
94,"de mouw",53,53,100,1
95,"de balk",46,53,86.7924528301887,1
96,"de rekening",24,53,45.2830188679245,0
97,"de pet",45,52,86.5384615384615,1
98,"de kerk",44,53,83.0188679245283,1
99,"de natuur",26,51,50.9803921568627,0
100,"de wind",46,53,86.7924528301887,1
101,"het lijf",51,53,96.2264150943396,1
102,"het eten",52,53,98.1132075471698,1
103,"de draak",39,52,75,1
104,"de berg",46,52,88.4615384615385,1
105,"de tralies",38,53,71.6981132075472,1
106,"de tuinman",49,53,92.4528301886792,1
107,"de naald",53,53,100,1
108,"de pan",55,58,94.8275862068966,1
109,"het balkon",44,58,75.8620689655172,1
110,"het lint",44,58,75.8620689655172,1
111,"het contract",48,58,82.7586206896552,1
112,"het wapen",15,49,30.6122448979592,0
113,"de trein",42,58,72.4137931034483,1
114,"de bioscoop",55,58,94.8275862068966,1
115,"het terras",36,58,62.0689655172414,0
116,"de meterkast",46,58,79.3103448275862,1
117,"de kantine",43,58,74.1379310344828,1
118,"het tentamen",44,58,75.8620689655172,1
119,"een concert",26,58,44.8275862068966,0
120,"de samenvatting",41,58,70.6896551724138,1
121,"de zon",45,58,77.5862068965517,1
122,"de pot",49,58,84.4827586206897,1
123,"de dierentuin",43,51,84.3137254901961,1
124,"het restaurant",54,58,93.1034482758621,1
125,"de boom",56,56,100,1
126,"de champagne",41,54,75.9259259259259,1
127,"de jungle",28,58,48.2758620689655,0
128,"de brief",22,58,37.9310344827586,0
129,"het bestek",57,58,98.2758620689655,1
130,"het stadion",50,58,86.2068965517241,1
131,"de conducteur",42,58,72.4137931034483,1
132,"de wereld",50,58,86.2068965517241,1
133,"de wachtkamer",45,58,77.5862068965517,1
134,"de kinderwagen",47,57,82.4561403508772,1
135,"de koets",40,58,68.9655172413793,0
136,"het station",53,58,91.3793103448276,1
137,"het zeil",53,58,91.3793103448276,1
138,"de postbode",29,58,50,0
139,"een gedicht",28,57,49.1228070175439,0
140,"het museum",52,58,89.6551724137931,1
141,"het slot",48,58,82.7586206896552,1
142,"het vak",46,58,79.3103448275862,1
