subj_id,qual_col,Diff,measure,row,sentID
R_vrAH2qrxu41QSv7,Diff(1),6,Diff,1,143
R_6Pg4ql6MQumxZo9,Diff(1),6,Diff,1,143
R_1QaBlAsk46HI9NJ,Diff(1),6,Diff,1,143
R_pKtuHvEeh5mujgl,Diff(1),6,Diff,1,143
R_RrYmeJDnKB3hv7r,Diff(1),6,Diff,1,143
R_2alPe2ZkILnzWYp,Diff(1),6,Diff,1,143
R_24zMzQY1U9LX5Gf,Diff(1),6,Diff,1,143
R_2zAp7MZjWbJtouD,Diff(1),6,Diff,1,143
R_1lgea30X5yRbWgb,Diff(1),6,Diff,1,143
R_1dg0dAPlymYfFcu,Diff(1),6,Diff,1,143
R_23TSscPxb3G1aSA,Diff(1),6,Diff,1,143
R_3effdDALVVpFhkK,Diff(1),6,Diff,1,143
R_2PpvbvcItA8LcqM,Diff(1),6,Diff,1,143
R_25WvorTEPc7DuHX,Diff(1),6,Diff,1,143
R_ZJCIt5D6m80Wim5,Diff(1),6,Diff,1,143
R_6gQpeEEoAOw1CNz,Diff(1),6,Diff,1,143
R_UcJP3naTdDXJEDn,Diff(1),5,Diff,1,143
R_21pKbw8vqrjpJ4Q,Diff(1),6,Diff,1,143
R_1HiWKvIl546M44z,Diff(1),6,Diff,1,143
R_BFIiDPrnKiKOhkB,Diff(1),6,Diff,1,143
R_232AZeZQOdbRSAK,Diff(1),5,Diff,1,143
R_1odMwWpdALe3A7c,Diff(1),5,Diff,1,143
R_3CMZ1prTdwstnIi,Diff(1),6,Diff,1,143
R_2SDkvNUYWKzQ9b4,Diff(1),5,Diff,1,143
R_2qwqWlqovi1EnxK,Diff(1),6,Diff,1,143
R_1nSW9rReHHlwpSQ,Diff(1),6,Diff,1,143
R_3FPt6NNv7fs4bHV,Diff(1),6,Diff,1,143
R_2uOs8d5Okoyss7z,Diff(1),3,Diff,1,143
R_1JEdl2aEMuUO63f,Diff(1),6,Diff,1,143
R_6L3ln2BoQAzJw2d,Diff(1),6,Diff,1,143
R_xAA7goWcKMvmb1D,Diff(1),6,Diff,1,143
R_248iCMeSwyLS8sF,Diff(1),4,Diff,1,143
R_OING4tGkg3q8VLb,Diff(1),4,Diff,1,143
R_3kvbwPackXPANmo,Diff(1),6,Diff,1,143
R_3lRiG6M8Z6vKWZh,Diff(1),6,Diff,1,143
R_3q9cZ9NJjEx872v,Diff(1),6,Diff,1,143
R_ABt8n7PxUqkXqy5,Diff(1),4,Diff,1,143
R_3k6rPDoCD4kup7x,Diff(1),6,Diff,1,143
R_p6iBXJstulO97Jn,Diff(1),6,Diff,1,143
R_USFewLQTXHp0kPT,Diff(1),6,Diff,1,143
R_vrAH2qrxu41QSv7,Diff(2),6,Diff,2,144
R_6Pg4ql6MQumxZo9,Diff(2),6,Diff,2,144
R_1QaBlAsk46HI9NJ,Diff(2),6,Diff,2,144
R_pKtuHvEeh5mujgl,Diff(2),6,Diff,2,144
R_RrYmeJDnKB3hv7r,Diff(2),6,Diff,2,144
R_2alPe2ZkILnzWYp,Diff(2),6,Diff,2,144
R_24zMzQY1U9LX5Gf,Diff(2),5,Diff,2,144
R_2zAp7MZjWbJtouD,Diff(2),6,Diff,2,144
R_1lgea30X5yRbWgb,Diff(2),6,Diff,2,144
R_1dg0dAPlymYfFcu,Diff(2),6,Diff,2,144
R_23TSscPxb3G1aSA,Diff(2),6,Diff,2,144
R_3effdDALVVpFhkK,Diff(2),6,Diff,2,144
R_2PpvbvcItA8LcqM,Diff(2),6,Diff,2,144
R_25WvorTEPc7DuHX,Diff(2),6,Diff,2,144
R_ZJCIt5D6m80Wim5,Diff(2),6,Diff,2,144
R_6gQpeEEoAOw1CNz,Diff(2),6,Diff,2,144
R_UcJP3naTdDXJEDn,Diff(2),6,Diff,2,144
R_21pKbw8vqrjpJ4Q,Diff(2),6,Diff,2,144
R_1HiWKvIl546M44z,Diff(2),6,Diff,2,144
R_BFIiDPrnKiKOhkB,Diff(2),6,Diff,2,144
R_232AZeZQOdbRSAK,Diff(2),6,Diff,2,144
R_1odMwWpdALe3A7c,Diff(2),6,Diff,2,144
R_3CMZ1prTdwstnIi,Diff(2),6,Diff,2,144
R_2SDkvNUYWKzQ9b4,Diff(2),6,Diff,2,144
R_2qwqWlqovi1EnxK,Diff(2),6,Diff,2,144
R_1nSW9rReHHlwpSQ,Diff(2),6,Diff,2,144
R_3FPt6NNv7fs4bHV,Diff(2),5,Diff,2,144
R_2uOs8d5Okoyss7z,Diff(2),5,Diff,2,144
R_1JEdl2aEMuUO63f,Diff(2),6,Diff,2,144
R_6L3ln2BoQAzJw2d,Diff(2),6,Diff,2,144
R_xAA7goWcKMvmb1D,Diff(2),6,Diff,2,144
R_248iCMeSwyLS8sF,Diff(2),5,Diff,2,144
R_OING4tGkg3q8VLb,Diff(2),5,Diff,2,144
R_3kvbwPackXPANmo,Diff(2),6,Diff,2,144
R_3lRiG6M8Z6vKWZh,Diff(2),6,Diff,2,144
R_3q9cZ9NJjEx872v,Diff(2),6,Diff,2,144
R_ABt8n7PxUqkXqy5,Diff(2),6,Diff,2,144
R_3k6rPDoCD4kup7x,Diff(2),6,Diff,2,144
R_p6iBXJstulO97Jn,Diff(2),6,Diff,2,144
R_USFewLQTXHp0kPT,Diff(2),6,Diff,2,144
R_vrAH2qrxu41QSv7,Diff(3),6,Diff,3,145
R_6Pg4ql6MQumxZo9,Diff(3),5,Diff,3,145
R_1QaBlAsk46HI9NJ,Diff(3),6,Diff,3,145
R_pKtuHvEeh5mujgl,Diff(3),6,Diff,3,145
R_RrYmeJDnKB3hv7r,Diff(3),6,Diff,3,145
R_2alPe2ZkILnzWYp,Diff(3),6,Diff,3,145
R_24zMzQY1U9LX5Gf,Diff(3),6,Diff,3,145
R_2zAp7MZjWbJtouD,Diff(3),6,Diff,3,145
R_1lgea30X5yRbWgb,Diff(3),6,Diff,3,145
R_1dg0dAPlymYfFcu,Diff(3),6,Diff,3,145
R_23TSscPxb3G1aSA,Diff(3),6,Diff,3,145
R_3effdDALVVpFhkK,Diff(3),6,Diff,3,145
R_2PpvbvcItA8LcqM,Diff(3),4,Diff,3,145
R_25WvorTEPc7DuHX,Diff(3),6,Diff,3,145
R_ZJCIt5D6m80Wim5,Diff(3),6,Diff,3,145
R_6gQpeEEoAOw1CNz,Diff(3),6,Diff,3,145
R_UcJP3naTdDXJEDn,Diff(3),6,Diff,3,145
R_21pKbw8vqrjpJ4Q,Diff(3),5,Diff,3,145
R_1HiWKvIl546M44z,Diff(3),6,Diff,3,145
R_BFIiDPrnKiKOhkB,Diff(3),6,Diff,3,145
R_232AZeZQOdbRSAK,Diff(3),6,Diff,3,145
R_1odMwWpdALe3A7c,Diff(3),6,Diff,3,145
R_3CMZ1prTdwstnIi,Diff(3),6,Diff,3,145
R_2SDkvNUYWKzQ9b4,Diff(3),3,Diff,3,145
R_2qwqWlqovi1EnxK,Diff(3),6,Diff,3,145
R_1nSW9rReHHlwpSQ,Diff(3),6,Diff,3,145
R_3FPt6NNv7fs4bHV,Diff(3),6,Diff,3,145
R_2uOs8d5Okoyss7z,Diff(3),5,Diff,3,145
R_1JEdl2aEMuUO63f,Diff(3),6,Diff,3,145
R_6L3ln2BoQAzJw2d,Diff(3),6,Diff,3,145
R_xAA7goWcKMvmb1D,Diff(3),5,Diff,3,145
R_248iCMeSwyLS8sF,Diff(3),5,Diff,3,145
R_OING4tGkg3q8VLb,Diff(3),5,Diff,3,145
R_3kvbwPackXPANmo,Diff(3),6,Diff,3,145
R_3lRiG6M8Z6vKWZh,Diff(3),6,Diff,3,145
R_3q9cZ9NJjEx872v,Diff(3),6,Diff,3,145
R_ABt8n7PxUqkXqy5,Diff(3),5,Diff,3,145
R_3k6rPDoCD4kup7x,Diff(3),6,Diff,3,145
R_p6iBXJstulO97Jn,Diff(3),6,Diff,3,145
R_USFewLQTXHp0kPT,Diff(3),6,Diff,3,145
R_vrAH2qrxu41QSv7,Diff(4),6,Diff,4,146
R_6Pg4ql6MQumxZo9,Diff(4),6,Diff,4,146
R_1QaBlAsk46HI9NJ,Diff(4),6,Diff,4,146
R_pKtuHvEeh5mujgl,Diff(4),6,Diff,4,146
R_RrYmeJDnKB3hv7r,Diff(4),6,Diff,4,146
R_2alPe2ZkILnzWYp,Diff(4),6,Diff,4,146
R_24zMzQY1U9LX5Gf,Diff(4),6,Diff,4,146
R_2zAp7MZjWbJtouD,Diff(4),6,Diff,4,146
R_1lgea30X5yRbWgb,Diff(4),6,Diff,4,146
R_1dg0dAPlymYfFcu,Diff(4),6,Diff,4,146
R_23TSscPxb3G1aSA,Diff(4),6,Diff,4,146
R_3effdDALVVpFhkK,Diff(4),5,Diff,4,146
R_2PpvbvcItA8LcqM,Diff(4),4,Diff,4,146
R_25WvorTEPc7DuHX,Diff(4),6,Diff,4,146
R_ZJCIt5D6m80Wim5,Diff(4),6,Diff,4,146
R_6gQpeEEoAOw1CNz,Diff(4),6,Diff,4,146
R_UcJP3naTdDXJEDn,Diff(4),6,Diff,4,146
R_21pKbw8vqrjpJ4Q,Diff(4),6,Diff,4,146
R_1HiWKvIl546M44z,Diff(4),6,Diff,4,146
R_BFIiDPrnKiKOhkB,Diff(4),6,Diff,4,146
R_232AZeZQOdbRSAK,Diff(4),6,Diff,4,146
R_1odMwWpdALe3A7c,Diff(4),6,Diff,4,146
R_3CMZ1prTdwstnIi,Diff(4),6,Diff,4,146
R_2SDkvNUYWKzQ9b4,Diff(4),5,Diff,4,146
R_2qwqWlqovi1EnxK,Diff(4),6,Diff,4,146
R_1nSW9rReHHlwpSQ,Diff(4),6,Diff,4,146
R_3FPt6NNv7fs4bHV,Diff(4),6,Diff,4,146
R_2uOs8d5Okoyss7z,Diff(4),6,Diff,4,146
R_1JEdl2aEMuUO63f,Diff(4),6,Diff,4,146
R_6L3ln2BoQAzJw2d,Diff(4),6,Diff,4,146
R_xAA7goWcKMvmb1D,Diff(4),6,Diff,4,146
R_248iCMeSwyLS8sF,Diff(4),5,Diff,4,146
R_OING4tGkg3q8VLb,Diff(4),5,Diff,4,146
R_3kvbwPackXPANmo,Diff(4),6,Diff,4,146
R_3lRiG6M8Z6vKWZh,Diff(4),6,Diff,4,146
R_3q9cZ9NJjEx872v,Diff(4),6,Diff,4,146
R_ABt8n7PxUqkXqy5,Diff(4),6,Diff,4,146
R_3k6rPDoCD4kup7x,Diff(4),6,Diff,4,146
R_p6iBXJstulO97Jn,Diff(4),6,Diff,4,146
R_USFewLQTXHp0kPT,Diff(4),6,Diff,4,146
R_vrAH2qrxu41QSv7,Diff(5),6,Diff,5,147
R_6Pg4ql6MQumxZo9,Diff(5),6,Diff,5,147
R_1QaBlAsk46HI9NJ,Diff(5),6,Diff,5,147
R_pKtuHvEeh5mujgl,Diff(5),6,Diff,5,147
R_RrYmeJDnKB3hv7r,Diff(5),6,Diff,5,147
R_2alPe2ZkILnzWYp,Diff(5),6,Diff,5,147
R_24zMzQY1U9LX5Gf,Diff(5),6,Diff,5,147
R_2zAp7MZjWbJtouD,Diff(5),6,Diff,5,147
R_1lgea30X5yRbWgb,Diff(5),6,Diff,5,147
R_1dg0dAPlymYfFcu,Diff(5),6,Diff,5,147
R_23TSscPxb3G1aSA,Diff(5),6,Diff,5,147
R_3effdDALVVpFhkK,Diff(5),6,Diff,5,147
R_2PpvbvcItA8LcqM,Diff(5),6,Diff,5,147
R_25WvorTEPc7DuHX,Diff(5),6,Diff,5,147
R_ZJCIt5D6m80Wim5,Diff(5),6,Diff,5,147
R_6gQpeEEoAOw1CNz,Diff(5),6,Diff,5,147
R_UcJP3naTdDXJEDn,Diff(5),6,Diff,5,147
R_21pKbw8vqrjpJ4Q,Diff(5),6,Diff,5,147
R_1HiWKvIl546M44z,Diff(5),6,Diff,5,147
R_BFIiDPrnKiKOhkB,Diff(5),6,Diff,5,147
R_232AZeZQOdbRSAK,Diff(5),6,Diff,5,147
R_1odMwWpdALe3A7c,Diff(5),6,Diff,5,147
R_3CMZ1prTdwstnIi,Diff(5),6,Diff,5,147
R_2SDkvNUYWKzQ9b4,Diff(5),6,Diff,5,147
R_2qwqWlqovi1EnxK,Diff(5),6,Diff,5,147
R_1nSW9rReHHlwpSQ,Diff(5),6,Diff,5,147
R_3FPt6NNv7fs4bHV,Diff(5),6,Diff,5,147
R_2uOs8d5Okoyss7z,Diff(5),6,Diff,5,147
R_1JEdl2aEMuUO63f,Diff(5),6,Diff,5,147
R_6L3ln2BoQAzJw2d,Diff(5),6,Diff,5,147
R_xAA7goWcKMvmb1D,Diff(5),5,Diff,5,147
R_248iCMeSwyLS8sF,Diff(5),5,Diff,5,147
R_OING4tGkg3q8VLb,Diff(5),4,Diff,5,147
R_3kvbwPackXPANmo,Diff(5),6,Diff,5,147
R_3lRiG6M8Z6vKWZh,Diff(5),6,Diff,5,147
R_3q9cZ9NJjEx872v,Diff(5),6,Diff,5,147
R_ABt8n7PxUqkXqy5,Diff(5),6,Diff,5,147
R_3k6rPDoCD4kup7x,Diff(5),6,Diff,5,147
R_p6iBXJstulO97Jn,Diff(5),6,Diff,5,147
R_USFewLQTXHp0kPT,Diff(5),6,Diff,5,147
R_vrAH2qrxu41QSv7,Diff(6),6,Diff,6,148
R_6Pg4ql6MQumxZo9,Diff(6),6,Diff,6,148
R_1QaBlAsk46HI9NJ,Diff(6),6,Diff,6,148
R_pKtuHvEeh5mujgl,Diff(6),6,Diff,6,148
R_RrYmeJDnKB3hv7r,Diff(6),6,Diff,6,148
R_2alPe2ZkILnzWYp,Diff(6),6,Diff,6,148
R_24zMzQY1U9LX5Gf,Diff(6),6,Diff,6,148
R_2zAp7MZjWbJtouD,Diff(6),6,Diff,6,148
R_1lgea30X5yRbWgb,Diff(6),6,Diff,6,148
R_1dg0dAPlymYfFcu,Diff(6),6,Diff,6,148
R_23TSscPxb3G1aSA,Diff(6),6,Diff,6,148
R_3effdDALVVpFhkK,Diff(6),5,Diff,6,148
R_2PpvbvcItA8LcqM,Diff(6),5,Diff,6,148
R_25WvorTEPc7DuHX,Diff(6),6,Diff,6,148
R_ZJCIt5D6m80Wim5,Diff(6),6,Diff,6,148
R_6gQpeEEoAOw1CNz,Diff(6),6,Diff,6,148
R_UcJP3naTdDXJEDn,Diff(6),6,Diff,6,148
R_21pKbw8vqrjpJ4Q,Diff(6),6,Diff,6,148
R_1HiWKvIl546M44z,Diff(6),6,Diff,6,148
R_BFIiDPrnKiKOhkB,Diff(6),6,Diff,6,148
R_232AZeZQOdbRSAK,Diff(6),6,Diff,6,148
R_1odMwWpdALe3A7c,Diff(6),5,Diff,6,148
R_3CMZ1prTdwstnIi,Diff(6),4,Diff,6,148
R_2SDkvNUYWKzQ9b4,Diff(6),3,Diff,6,148
R_2qwqWlqovi1EnxK,Diff(6),5,Diff,6,148
R_1nSW9rReHHlwpSQ,Diff(6),5,Diff,6,148
R_3FPt6NNv7fs4bHV,Diff(6),6,Diff,6,148
R_2uOs8d5Okoyss7z,Diff(6),5,Diff,6,148
R_1JEdl2aEMuUO63f,Diff(6),6,Diff,6,148
R_6L3ln2BoQAzJw2d,Diff(6),6,Diff,6,148
R_xAA7goWcKMvmb1D,Diff(6),5,Diff,6,148
R_248iCMeSwyLS8sF,Diff(6),5,Diff,6,148
R_OING4tGkg3q8VLb,Diff(6),4,Diff,6,148
R_3kvbwPackXPANmo,Diff(6),6,Diff,6,148
R_3lRiG6M8Z6vKWZh,Diff(6),6,Diff,6,148
R_3q9cZ9NJjEx872v,Diff(6),6,Diff,6,148
R_ABt8n7PxUqkXqy5,Diff(6),6,Diff,6,148
R_3k6rPDoCD4kup7x,Diff(6),6,Diff,6,148
R_p6iBXJstulO97Jn,Diff(6),6,Diff,6,148
R_USFewLQTXHp0kPT,Diff(6),6,Diff,6,148
R_vrAH2qrxu41QSv7,Diff(7),6,Diff,7,149
R_6Pg4ql6MQumxZo9,Diff(7),3,Diff,7,149
R_1QaBlAsk46HI9NJ,Diff(7),3,Diff,7,149
R_pKtuHvEeh5mujgl,Diff(7),6,Diff,7,149
R_RrYmeJDnKB3hv7r,Diff(7),6,Diff,7,149
R_2alPe2ZkILnzWYp,Diff(7),6,Diff,7,149
R_24zMzQY1U9LX5Gf,Diff(7),6,Diff,7,149
R_2zAp7MZjWbJtouD,Diff(7),4,Diff,7,149
R_1lgea30X5yRbWgb,Diff(7),6,Diff,7,149
R_1dg0dAPlymYfFcu,Diff(7),6,Diff,7,149
R_23TSscPxb3G1aSA,Diff(7),6,Diff,7,149
R_3effdDALVVpFhkK,Diff(7),6,Diff,7,149
R_2PpvbvcItA8LcqM,Diff(7),6,Diff,7,149
R_25WvorTEPc7DuHX,Diff(7),6,Diff,7,149
R_ZJCIt5D6m80Wim5,Diff(7),6,Diff,7,149
R_6gQpeEEoAOw1CNz,Diff(7),2,Diff,7,149
R_UcJP3naTdDXJEDn,Diff(7),4,Diff,7,149
R_21pKbw8vqrjpJ4Q,Diff(7),5,Diff,7,149
R_1HiWKvIl546M44z,Diff(7),3,Diff,7,149
R_BFIiDPrnKiKOhkB,Diff(7),2,Diff,7,149
R_232AZeZQOdbRSAK,Diff(7),5,Diff,7,149
R_1odMwWpdALe3A7c,Diff(7),2,Diff,7,149
R_3CMZ1prTdwstnIi,Diff(7),6,Diff,7,149
R_2SDkvNUYWKzQ9b4,Diff(7),5,Diff,7,149
R_2qwqWlqovi1EnxK,Diff(7),6,Diff,7,149
R_1nSW9rReHHlwpSQ,Diff(7),5,Diff,7,149
R_3FPt6NNv7fs4bHV,Diff(7),5,Diff,7,149
R_2uOs8d5Okoyss7z,Diff(7),5,Diff,7,149
R_1JEdl2aEMuUO63f,Diff(7),6,Diff,7,149
R_6L3ln2BoQAzJw2d,Diff(7),6,Diff,7,149
R_xAA7goWcKMvmb1D,Diff(7),3,Diff,7,149
R_248iCMeSwyLS8sF,Diff(7),5,Diff,7,149
R_OING4tGkg3q8VLb,Diff(7),4,Diff,7,149
R_3kvbwPackXPANmo,Diff(7),6,Diff,7,149
R_3lRiG6M8Z6vKWZh,Diff(7),6,Diff,7,149
R_3q9cZ9NJjEx872v,Diff(7),6,Diff,7,149
R_ABt8n7PxUqkXqy5,Diff(7),6,Diff,7,149
R_3k6rPDoCD4kup7x,Diff(7),6,Diff,7,149
R_p6iBXJstulO97Jn,Diff(7),6,Diff,7,149
R_USFewLQTXHp0kPT,Diff(7),4,Diff,7,149
R_vrAH2qrxu41QSv7,Diff(8),6,Diff,8,150
R_6Pg4ql6MQumxZo9,Diff(8),6,Diff,8,150
R_1QaBlAsk46HI9NJ,Diff(8),6,Diff,8,150
R_pKtuHvEeh5mujgl,Diff(8),6,Diff,8,150
R_RrYmeJDnKB3hv7r,Diff(8),6,Diff,8,150
R_2alPe2ZkILnzWYp,Diff(8),6,Diff,8,150
R_24zMzQY1U9LX5Gf,Diff(8),6,Diff,8,150
R_2zAp7MZjWbJtouD,Diff(8),6,Diff,8,150
R_1lgea30X5yRbWgb,Diff(8),6,Diff,8,150
R_1dg0dAPlymYfFcu,Diff(8),6,Diff,8,150
R_23TSscPxb3G1aSA,Diff(8),6,Diff,8,150
R_3effdDALVVpFhkK,Diff(8),6,Diff,8,150
R_2PpvbvcItA8LcqM,Diff(8),6,Diff,8,150
R_25WvorTEPc7DuHX,Diff(8),6,Diff,8,150
R_ZJCIt5D6m80Wim5,Diff(8),6,Diff,8,150
R_6gQpeEEoAOw1CNz,Diff(8),6,Diff,8,150
R_UcJP3naTdDXJEDn,Diff(8),6,Diff,8,150
R_21pKbw8vqrjpJ4Q,Diff(8),6,Diff,8,150
R_1HiWKvIl546M44z,Diff(8),6,Diff,8,150
R_BFIiDPrnKiKOhkB,Diff(8),6,Diff,8,150
R_232AZeZQOdbRSAK,Diff(8),6,Diff,8,150
R_1odMwWpdALe3A7c,Diff(8),6,Diff,8,150
R_3CMZ1prTdwstnIi,Diff(8),6,Diff,8,150
R_2SDkvNUYWKzQ9b4,Diff(8),6,Diff,8,150
R_2qwqWlqovi1EnxK,Diff(8),6,Diff,8,150
R_1nSW9rReHHlwpSQ,Diff(8),6,Diff,8,150
R_3FPt6NNv7fs4bHV,Diff(8),6,Diff,8,150
R_2uOs8d5Okoyss7z,Diff(8),6,Diff,8,150
R_1JEdl2aEMuUO63f,Diff(8),6,Diff,8,150
R_6L3ln2BoQAzJw2d,Diff(8),6,Diff,8,150
R_xAA7goWcKMvmb1D,Diff(8),6,Diff,8,150
R_248iCMeSwyLS8sF,Diff(8),6,Diff,8,150
R_OING4tGkg3q8VLb,Diff(8),6,Diff,8,150
R_3kvbwPackXPANmo,Diff(8),6,Diff,8,150
R_3lRiG6M8Z6vKWZh,Diff(8),6,Diff,8,150
R_3q9cZ9NJjEx872v,Diff(8),6,Diff,8,150
R_ABt8n7PxUqkXqy5,Diff(8),6,Diff,8,150
R_3k6rPDoCD4kup7x,Diff(8),6,Diff,8,150
R_p6iBXJstulO97Jn,Diff(8),6,Diff,8,150
R_USFewLQTXHp0kPT,Diff(8),6,Diff,8,150
R_vrAH2qrxu41QSv7,Diff(9),6,Diff,9,151
R_6Pg4ql6MQumxZo9,Diff(9),6,Diff,9,151
R_1QaBlAsk46HI9NJ,Diff(9),6,Diff,9,151
R_pKtuHvEeh5mujgl,Diff(9),5,Diff,9,151
R_RrYmeJDnKB3hv7r,Diff(9),6,Diff,9,151
R_2alPe2ZkILnzWYp,Diff(9),6,Diff,9,151
R_24zMzQY1U9LX5Gf,Diff(9),6,Diff,9,151
R_2zAp7MZjWbJtouD,Diff(9),6,Diff,9,151
R_1lgea30X5yRbWgb,Diff(9),6,Diff,9,151
R_1dg0dAPlymYfFcu,Diff(9),5,Diff,9,151
R_23TSscPxb3G1aSA,Diff(9),5,Diff,9,151
R_3effdDALVVpFhkK,Diff(9),5,Diff,9,151
R_2PpvbvcItA8LcqM,Diff(9),6,Diff,9,151
R_25WvorTEPc7DuHX,Diff(9),6,Diff,9,151
R_ZJCIt5D6m80Wim5,Diff(9),6,Diff,9,151
R_6gQpeEEoAOw1CNz,Diff(9),6,Diff,9,151
R_UcJP3naTdDXJEDn,Diff(9),6,Diff,9,151
R_21pKbw8vqrjpJ4Q,Diff(9),6,Diff,9,151
R_1HiWKvIl546M44z,Diff(9),6,Diff,9,151
R_BFIiDPrnKiKOhkB,Diff(9),6,Diff,9,151
R_232AZeZQOdbRSAK,Diff(9),6,Diff,9,151
R_1odMwWpdALe3A7c,Diff(9),5,Diff,9,151
R_3CMZ1prTdwstnIi,Diff(9),5,Diff,9,151
R_2SDkvNUYWKzQ9b4,Diff(9),5,Diff,9,151
R_2qwqWlqovi1EnxK,Diff(9),5,Diff,9,151
R_1nSW9rReHHlwpSQ,Diff(9),6,Diff,9,151
R_3FPt6NNv7fs4bHV,Diff(9),6,Diff,9,151
R_2uOs8d5Okoyss7z,Diff(9),5,Diff,9,151
R_1JEdl2aEMuUO63f,Diff(9),6,Diff,9,151
R_6L3ln2BoQAzJw2d,Diff(9),6,Diff,9,151
R_xAA7goWcKMvmb1D,Diff(9),5,Diff,9,151
R_248iCMeSwyLS8sF,Diff(9),6,Diff,9,151
R_OING4tGkg3q8VLb,Diff(9),5,Diff,9,151
R_3kvbwPackXPANmo,Diff(9),6,Diff,9,151
R_3lRiG6M8Z6vKWZh,Diff(9),6,Diff,9,151
R_3q9cZ9NJjEx872v,Diff(9),6,Diff,9,151
R_ABt8n7PxUqkXqy5,Diff(9),6,Diff,9,151
R_3k6rPDoCD4kup7x,Diff(9),6,Diff,9,151
R_p6iBXJstulO97Jn,Diff(9),6,Diff,9,151
R_USFewLQTXHp0kPT,Diff(9),5,Diff,9,151
R_vrAH2qrxu41QSv7,Diff(10),6,Diff,10,152
R_6Pg4ql6MQumxZo9,Diff(10),6,Diff,10,152
R_1QaBlAsk46HI9NJ,Diff(10),6,Diff,10,152
R_pKtuHvEeh5mujgl,Diff(10),6,Diff,10,152
R_RrYmeJDnKB3hv7r,Diff(10),6,Diff,10,152
R_2alPe2ZkILnzWYp,Diff(10),6,Diff,10,152
R_24zMzQY1U9LX5Gf,Diff(10),6,Diff,10,152
R_2zAp7MZjWbJtouD,Diff(10),6,Diff,10,152
R_1lgea30X5yRbWgb,Diff(10),6,Diff,10,152
R_1dg0dAPlymYfFcu,Diff(10),6,Diff,10,152
R_23TSscPxb3G1aSA,Diff(10),6,Diff,10,152
R_3effdDALVVpFhkK,Diff(10),6,Diff,10,152
R_2PpvbvcItA8LcqM,Diff(10),6,Diff,10,152
R_25WvorTEPc7DuHX,Diff(10),6,Diff,10,152
R_ZJCIt5D6m80Wim5,Diff(10),6,Diff,10,152
R_6gQpeEEoAOw1CNz,Diff(10),6,Diff,10,152
R_UcJP3naTdDXJEDn,Diff(10),6,Diff,10,152
R_21pKbw8vqrjpJ4Q,Diff(10),6,Diff,10,152
R_1HiWKvIl546M44z,Diff(10),6,Diff,10,152
R_BFIiDPrnKiKOhkB,Diff(10),6,Diff,10,152
R_232AZeZQOdbRSAK,Diff(10),6,Diff,10,152
R_1odMwWpdALe3A7c,Diff(10),6,Diff,10,152
R_3CMZ1prTdwstnIi,Diff(10),6,Diff,10,152
R_2SDkvNUYWKzQ9b4,Diff(10),5,Diff,10,152
R_2qwqWlqovi1EnxK,Diff(10),5,Diff,10,152
R_1nSW9rReHHlwpSQ,Diff(10),6,Diff,10,152
R_3FPt6NNv7fs4bHV,Diff(10),6,Diff,10,152
R_2uOs8d5Okoyss7z,Diff(10),6,Diff,10,152
