subj_id,qual_col,NatNess,measure,row,sentID
R_vrAH2qrxu41QSv7,Natural(1),5.0,Natural,1,143
R_6Pg4ql6MQumxZo9,Natural(1),5.0,Natural,1,143
R_1QaBlAsk46HI9NJ,Natural(1),5.0,Natural,1,143
R_pKtuHvEeh5mujgl,Natural(1),5.0,Natural,1,143
R_RrYmeJDnKB3hv7r,Natural(1),3.0,Natural,1,143
R_2alPe2ZkILnzWYp,Natural(1),4.0,Natural,1,143
R_24zMzQY1U9LX5Gf,Natural(1),3.0,Natural,1,143
R_2zAp7MZjWbJtouD,Natural(1),1.0,Natural,1,143
R_1lgea30X5yRbWgb,Natural(1),2.0,Natural,1,143
R_1dg0dAPlymYfFcu,Natural(1),5.0,Natural,1,143
R_23TSscPxb3G1aSA,Natural(1),5.0,Natural,1,143
R_3effdDALVVpFhkK,Natural(1),5.0,Natural,1,143
R_2PpvbvcItA8LcqM,Natural(1),5.0,Natural,1,143
R_25WvorTEPc7DuHX,Natural(1),5.0,Natural,1,143
R_ZJCIt5D6m80Wim5,Natural(1),1.0,Natural,1,143
R_6gQpeEEoAOw1CNz,Natural(1),4.0,Natural,1,143
R_UcJP3naTdDXJEDn,Natural(1),,Natural,1,143
R_21pKbw8vqrjpJ4Q,Natural(1),5.0,Natural,1,143
R_1HiWKvIl546M44z,Natural(1),4.0,Natural,1,143
R_BFIiDPrnKiKOhkB,Natural(1),5.0,Natural,1,143
R_232AZeZQOdbRSAK,Natural(1),5.0,Natural,1,143
R_1odMwWpdALe3A7c,Natural(1),3.0,Natural,1,143
R_3CMZ1prTdwstnIi,Natural(1),5.0,Natural,1,143
R_2SDkvNUYWKzQ9b4,Natural(1),5.0,Natural,1,143
R_2qwqWlqovi1EnxK,Natural(1),4.0,Natural,1,143
R_1nSW9rReHHlwpSQ,Natural(1),5.0,Natural,1,143
R_3FPt6NNv7fs4bHV,Natural(1),3.0,Natural,1,143
R_2uOs8d5Okoyss7z,Natural(1),4.0,Natural,1,143
R_1JEdl2aEMuUO63f,Natural(1),5.0,Natural,1,143
R_6L3ln2BoQAzJw2d,Natural(1),5.0,Natural,1,143
R_xAA7goWcKMvmb1D,Natural(1),4.0,Natural,1,143
R_248iCMeSwyLS8sF,Natural(1),4.0,Natural,1,143
R_OING4tGkg3q8VLb,Natural(1),3.0,Natural,1,143
R_3kvbwPackXPANmo,Natural(1),4.0,Natural,1,143
R_3lRiG6M8Z6vKWZh,Natural(1),5.0,Natural,1,143
R_3q9cZ9NJjEx872v,Natural(1),2.0,Natural,1,143
R_ABt8n7PxUqkXqy5,Natural(1),3.0,Natural,1,143
R_3k6rPDoCD4kup7x,Natural(1),5.0,Natural,1,143
R_p6iBXJstulO97Jn,Natural(1),5.0,Natural,1,143
R_USFewLQTXHp0kPT,Natural(1),4.0,Natural,1,143
R_vrAH2qrxu41QSv7,Natural(2),5.0,Natural,2,144
R_6Pg4ql6MQumxZo9,Natural(2),5.0,Natural,2,144
R_1QaBlAsk46HI9NJ,Natural(2),5.0,Natural,2,144
R_pKtuHvEeh5mujgl,Natural(2),5.0,Natural,2,144
R_RrYmeJDnKB3hv7r,Natural(2),5.0,Natural,2,144
R_2alPe2ZkILnzWYp,Natural(2),5.0,Natural,2,144
R_24zMzQY1U9LX5Gf,Natural(2),4.0,Natural,2,144
R_2zAp7MZjWbJtouD,Natural(2),5.0,Natural,2,144
R_1lgea30X5yRbWgb,Natural(2),1.0,Natural,2,144
R_1dg0dAPlymYfFcu,Natural(2),5.0,Natural,2,144
R_23TSscPxb3G1aSA,Natural(2),5.0,Natural,2,144
R_3effdDALVVpFhkK,Natural(2),5.0,Natural,2,144
R_2PpvbvcItA8LcqM,Natural(2),5.0,Natural,2,144
R_25WvorTEPc7DuHX,Natural(2),5.0,Natural,2,144
R_ZJCIt5D6m80Wim5,Natural(2),1.0,Natural,2,144
R_6gQpeEEoAOw1CNz,Natural(2),5.0,Natural,2,144
R_UcJP3naTdDXJEDn,Natural(2),5.0,Natural,2,144
R_21pKbw8vqrjpJ4Q,Natural(2),5.0,Natural,2,144
R_1HiWKvIl546M44z,Natural(2),3.0,Natural,2,144
R_BFIiDPrnKiKOhkB,Natural(2),4.0,Natural,2,144
R_232AZeZQOdbRSAK,Natural(2),4.0,Natural,2,144
R_1odMwWpdALe3A7c,Natural(2),5.0,Natural,2,144
R_3CMZ1prTdwstnIi,Natural(2),5.0,Natural,2,144
R_2SDkvNUYWKzQ9b4,Natural(2),4.0,Natural,2,144
R_2qwqWlqovi1EnxK,Natural(2),5.0,Natural,2,144
R_1nSW9rReHHlwpSQ,Natural(2),5.0,Natural,2,144
R_3FPt6NNv7fs4bHV,Natural(2),4.0,Natural,2,144
R_2uOs8d5Okoyss7z,Natural(2),2.0,Natural,2,144
R_1JEdl2aEMuUO63f,Natural(2),5.0,Natural,2,144
R_6L3ln2BoQAzJw2d,Natural(2),5.0,Natural,2,144
R_xAA7goWcKMvmb1D,Natural(2),4.0,Natural,2,144
R_248iCMeSwyLS8sF,Natural(2),3.0,Natural,2,144
R_OING4tGkg3q8VLb,Natural(2),4.0,Natural,2,144
R_3kvbwPackXPANmo,Natural(2),5.0,Natural,2,144
R_3lRiG6M8Z6vKWZh,Natural(2),5.0,Natural,2,144
R_3q9cZ9NJjEx872v,Natural(2),3.0,Natural,2,144
R_ABt8n7PxUqkXqy5,Natural(2),5.0,Natural,2,144
R_3k6rPDoCD4kup7x,Natural(2),5.0,Natural,2,144
R_p6iBXJstulO97Jn,Natural(2),5.0,Natural,2,144
R_USFewLQTXHp0kPT,Natural(2),5.0,Natural,2,144
R_vrAH2qrxu41QSv7,Natural(3),5.0,Natural,3,145
R_6Pg4ql6MQumxZo9,Natural(3),4.0,Natural,3,145
R_1QaBlAsk46HI9NJ,Natural(3),1.0,Natural,3,145
R_pKtuHvEeh5mujgl,Natural(3),5.0,Natural,3,145
R_RrYmeJDnKB3hv7r,Natural(3),5.0,Natural,3,145
R_2alPe2ZkILnzWYp,Natural(3),5.0,Natural,3,145
R_24zMzQY1U9LX5Gf,Natural(3),5.0,Natural,3,145
R_2zAp7MZjWbJtouD,Natural(3),5.0,Natural,3,145
R_1lgea30X5yRbWgb,Natural(3),5.0,Natural,3,145
R_1dg0dAPlymYfFcu,Natural(3),5.0,Natural,3,145
R_23TSscPxb3G1aSA,Natural(3),5.0,Natural,3,145
R_3effdDALVVpFhkK,Natural(3),5.0,Natural,3,145
R_2PpvbvcItA8LcqM,Natural(3),2.0,Natural,3,145
R_25WvorTEPc7DuHX,Natural(3),5.0,Natural,3,145
R_ZJCIt5D6m80Wim5,Natural(3),3.0,Natural,3,145
R_6gQpeEEoAOw1CNz,Natural(3),5.0,Natural,3,145
R_UcJP3naTdDXJEDn,Natural(3),5.0,Natural,3,145
R_21pKbw8vqrjpJ4Q,Natural(3),5.0,Natural,3,145
R_1HiWKvIl546M44z,Natural(3),3.0,Natural,3,145
R_BFIiDPrnKiKOhkB,Natural(3),3.0,Natural,3,145
R_232AZeZQOdbRSAK,Natural(3),5.0,Natural,3,145
R_1odMwWpdALe3A7c,Natural(3),5.0,Natural,3,145
R_3CMZ1prTdwstnIi,Natural(3),5.0,Natural,3,145
R_2SDkvNUYWKzQ9b4,Natural(3),4.0,Natural,3,145
R_2qwqWlqovi1EnxK,Natural(3),5.0,Natural,3,145
R_1nSW9rReHHlwpSQ,Natural(3),5.0,Natural,3,145
R_3FPt6NNv7fs4bHV,Natural(3),5.0,Natural,3,145
R_2uOs8d5Okoyss7z,Natural(3),3.0,Natural,3,145
R_1JEdl2aEMuUO63f,Natural(3),5.0,Natural,3,145
R_6L3ln2BoQAzJw2d,Natural(3),5.0,Natural,3,145
R_xAA7goWcKMvmb1D,Natural(3),3.0,Natural,3,145
R_248iCMeSwyLS8sF,Natural(3),4.0,Natural,3,145
R_OING4tGkg3q8VLb,Natural(3),4.0,Natural,3,145
R_3kvbwPackXPANmo,Natural(3),3.0,Natural,3,145
R_3lRiG6M8Z6vKWZh,Natural(3),5.0,Natural,3,145
R_3q9cZ9NJjEx872v,Natural(3),2.0,Natural,3,145
R_ABt8n7PxUqkXqy5,Natural(3),3.0,Natural,3,145
R_3k6rPDoCD4kup7x,Natural(3),5.0,Natural,3,145
R_p6iBXJstulO97Jn,Natural(3),5.0,Natural,3,145
R_USFewLQTXHp0kPT,Natural(3),4.0,Natural,3,145
R_vrAH2qrxu41QSv7,Natural(4),5.0,Natural,4,146
R_6Pg4ql6MQumxZo9,Natural(4),5.0,Natural,4,146
R_1QaBlAsk46HI9NJ,Natural(4),5.0,Natural,4,146
R_pKtuHvEeh5mujgl,Natural(4),5.0,Natural,4,146
R_RrYmeJDnKB3hv7r,Natural(4),5.0,Natural,4,146
R_2alPe2ZkILnzWYp,Natural(4),5.0,Natural,4,146
R_24zMzQY1U9LX5Gf,Natural(4),5.0,Natural,4,146
R_2zAp7MZjWbJtouD,Natural(4),5.0,Natural,4,146
R_1lgea30X5yRbWgb,Natural(4),5.0,Natural,4,146
R_1dg0dAPlymYfFcu,Natural(4),5.0,Natural,4,146
R_23TSscPxb3G1aSA,Natural(4),5.0,Natural,4,146
R_3effdDALVVpFhkK,Natural(4),4.0,Natural,4,146
R_2PpvbvcItA8LcqM,Natural(4),2.0,Natural,4,146
R_25WvorTEPc7DuHX,Natural(4),5.0,Natural,4,146
R_ZJCIt5D6m80Wim5,Natural(4),4.0,Natural,4,146
R_6gQpeEEoAOw1CNz,Natural(4),5.0,Natural,4,146
R_UcJP3naTdDXJEDn,Natural(4),5.0,Natural,4,146
R_21pKbw8vqrjpJ4Q,Natural(4),5.0,Natural,4,146
R_1HiWKvIl546M44z,Natural(4),4.0,Natural,4,146
R_BFIiDPrnKiKOhkB,Natural(4),5.0,Natural,4,146
R_232AZeZQOdbRSAK,Natural(4),5.0,Natural,4,146
R_1odMwWpdALe3A7c,Natural(4),5.0,Natural,4,146
R_3CMZ1prTdwstnIi,Natural(4),5.0,Natural,4,146
R_2SDkvNUYWKzQ9b4,Natural(4),5.0,Natural,4,146
R_2qwqWlqovi1EnxK,Natural(4),5.0,Natural,4,146
R_1nSW9rReHHlwpSQ,Natural(4),5.0,Natural,4,146
R_3FPt6NNv7fs4bHV,Natural(4),5.0,Natural,4,146
R_2uOs8d5Okoyss7z,Natural(4),5.0,Natural,4,146
R_1JEdl2aEMuUO63f,Natural(4),5.0,Natural,4,146
R_6L3ln2BoQAzJw2d,Natural(4),5.0,Natural,4,146
R_xAA7goWcKMvmb1D,Natural(4),5.0,Natural,4,146
R_248iCMeSwyLS8sF,Natural(4),4.0,Natural,4,146
R_OING4tGkg3q8VLb,Natural(4),4.0,Natural,4,146
R_3kvbwPackXPANmo,Natural(4),4.0,Natural,4,146
R_3lRiG6M8Z6vKWZh,Natural(4),5.0,Natural,4,146
R_3q9cZ9NJjEx872v,Natural(4),5.0,Natural,4,146
R_ABt8n7PxUqkXqy5,Natural(4),5.0,Natural,4,146
R_3k6rPDoCD4kup7x,Natural(4),5.0,Natural,4,146
R_p6iBXJstulO97Jn,Natural(4),5.0,Natural,4,146
R_USFewLQTXHp0kPT,Natural(4),5.0,Natural,4,146
R_vrAH2qrxu41QSv7,Natural(5),5.0,Natural,5,147
R_6Pg4ql6MQumxZo9,Natural(5),5.0,Natural,5,147
R_1QaBlAsk46HI9NJ,Natural(5),5.0,Natural,5,147
R_pKtuHvEeh5mujgl,Natural(5),5.0,Natural,5,147
R_RrYmeJDnKB3hv7r,Natural(5),5.0,Natural,5,147
R_2alPe2ZkILnzWYp,Natural(5),5.0,Natural,5,147
R_24zMzQY1U9LX5Gf,Natural(5),5.0,Natural,5,147
R_2zAp7MZjWbJtouD,Natural(5),5.0,Natural,5,147
R_1lgea30X5yRbWgb,Natural(5),5.0,Natural,5,147
R_1dg0dAPlymYfFcu,Natural(5),5.0,Natural,5,147
R_23TSscPxb3G1aSA,Natural(5),5.0,Natural,5,147
R_3effdDALVVpFhkK,Natural(5),5.0,Natural,5,147
R_2PpvbvcItA8LcqM,Natural(5),5.0,Natural,5,147
R_25WvorTEPc7DuHX,Natural(5),5.0,Natural,5,147
R_ZJCIt5D6m80Wim5,Natural(5),3.0,Natural,5,147
R_6gQpeEEoAOw1CNz,Natural(5),5.0,Natural,5,147
R_UcJP3naTdDXJEDn,Natural(5),5.0,Natural,5,147
R_21pKbw8vqrjpJ4Q,Natural(5),5.0,Natural,5,147
R_1HiWKvIl546M44z,Natural(5),4.0,Natural,5,147
R_BFIiDPrnKiKOhkB,Natural(5),5.0,Natural,5,147
R_232AZeZQOdbRSAK,Natural(5),4.0,Natural,5,147
R_1odMwWpdALe3A7c,Natural(5),5.0,Natural,5,147
R_3CMZ1prTdwstnIi,Natural(5),4.0,Natural,5,147
R_2SDkvNUYWKzQ9b4,Natural(5),5.0,Natural,5,147
R_2qwqWlqovi1EnxK,Natural(5),4.0,Natural,5,147
R_1nSW9rReHHlwpSQ,Natural(5),5.0,Natural,5,147
R_3FPt6NNv7fs4bHV,Natural(5),4.0,Natural,5,147
R_2uOs8d5Okoyss7z,Natural(5),4.0,Natural,5,147
R_1JEdl2aEMuUO63f,Natural(5),5.0,Natural,5,147
R_6L3ln2BoQAzJw2d,Natural(5),5.0,Natural,5,147
R_xAA7goWcKMvmb1D,Natural(5),2.0,Natural,5,147
R_248iCMeSwyLS8sF,Natural(5),4.0,Natural,5,147
R_OING4tGkg3q8VLb,Natural(5),3.0,Natural,5,147
R_3kvbwPackXPANmo,Natural(5),5.0,Natural,5,147
R_3lRiG6M8Z6vKWZh,Natural(5),5.0,Natural,5,147
R_3q9cZ9NJjEx872v,Natural(5),5.0,Natural,5,147
R_ABt8n7PxUqkXqy5,Natural(5),5.0,Natural,5,147
R_3k6rPDoCD4kup7x,Natural(5),5.0,Natural,5,147
R_p6iBXJstulO97Jn,Natural(5),5.0,Natural,5,147
R_USFewLQTXHp0kPT,Natural(5),4.0,Natural,5,147
R_vrAH2qrxu41QSv7,Natural(6),5.0,Natural,6,148
R_6Pg4ql6MQumxZo9,Natural(6),5.0,Natural,6,148
R_1QaBlAsk46HI9NJ,Natural(6),5.0,Natural,6,148
R_pKtuHvEeh5mujgl,Natural(6),4.0,Natural,6,148
R_RrYmeJDnKB3hv7r,Natural(6),5.0,Natural,6,148
R_2alPe2ZkILnzWYp,Natural(6),5.0,Natural,6,148
R_24zMzQY1U9LX5Gf,Natural(6),5.0,Natural,6,148
R_2zAp7MZjWbJtouD,Natural(6),5.0,Natural,6,148
R_1lgea30X5yRbWgb,Natural(6),5.0,Natural,6,148
R_1dg0dAPlymYfFcu,Natural(6),5.0,Natural,6,148
R_23TSscPxb3G1aSA,Natural(6),3.0,Natural,6,148
R_3effdDALVVpFhkK,Natural(6),4.0,Natural,6,148
R_2PpvbvcItA8LcqM,Natural(6),2.0,Natural,6,148
R_25WvorTEPc7DuHX,Natural(6),5.0,Natural,6,148
R_ZJCIt5D6m80Wim5,Natural(6),5.0,Natural,6,148
R_6gQpeEEoAOw1CNz,Natural(6),5.0,Natural,6,148
R_UcJP3naTdDXJEDn,Natural(6),,Natural,6,148
R_21pKbw8vqrjpJ4Q,Natural(6),5.0,Natural,6,148
R_1HiWKvIl546M44z,Natural(6),4.0,Natural,6,148
R_BFIiDPrnKiKOhkB,Natural(6),5.0,Natural,6,148
R_232AZeZQOdbRSAK,Natural(6),5.0,Natural,6,148
R_1odMwWpdALe3A7c,Natural(6),4.0,Natural,6,148
R_3CMZ1prTdwstnIi,Natural(6),5.0,Natural,6,148
R_2SDkvNUYWKzQ9b4,Natural(6),2.0,Natural,6,148
R_2qwqWlqovi1EnxK,Natural(6),4.0,Natural,6,148
R_1nSW9rReHHlwpSQ,Natural(6),5.0,Natural,6,148
R_3FPt6NNv7fs4bHV,Natural(6),5.0,Natural,6,148
R_2uOs8d5Okoyss7z,Natural(6),3.0,Natural,6,148
R_1JEdl2aEMuUO63f,Natural(6),5.0,Natural,6,148
R_6L3ln2BoQAzJw2d,Natural(6),5.0,Natural,6,148
R_xAA7goWcKMvmb1D,Natural(6),4.0,Natural,6,148
R_248iCMeSwyLS8sF,Natural(6),4.0,Natural,6,148
R_OING4tGkg3q8VLb,Natural(6),3.0,Natural,6,148
R_3kvbwPackXPANmo,Natural(6),5.0,Natural,6,148
R_3lRiG6M8Z6vKWZh,Natural(6),5.0,Natural,6,148
R_3q9cZ9NJjEx872v,Natural(6),5.0,Natural,6,148
R_ABt8n7PxUqkXqy5,Natural(6),5.0,Natural,6,148
R_3k6rPDoCD4kup7x,Natural(6),5.0,Natural,6,148
R_p6iBXJstulO97Jn,Natural(6),5.0,Natural,6,148
R_USFewLQTXHp0kPT,Natural(6),5.0,Natural,6,148
R_vrAH2qrxu41QSv7,Natural(7),5.0,Natural,7,149
R_6Pg4ql6MQumxZo9,Natural(7),4.0,Natural,7,149
R_1QaBlAsk46HI9NJ,Natural(7),3.0,Natural,7,149
R_pKtuHvEeh5mujgl,Natural(7),5.0,Natural,7,149
R_RrYmeJDnKB3hv7r,Natural(7),5.0,Natural,7,149
R_2alPe2ZkILnzWYp,Natural(7),5.0,Natural,7,149
R_24zMzQY1U9LX5Gf,Natural(7),5.0,Natural,7,149
R_2zAp7MZjWbJtouD,Natural(7),3.0,Natural,7,149
R_1lgea30X5yRbWgb,Natural(7),2.0,Natural,7,149
R_1dg0dAPlymYfFcu,Natural(7),2.0,Natural,7,149
R_23TSscPxb3G1aSA,Natural(7),5.0,Natural,7,149
R_3effdDALVVpFhkK,Natural(7),5.0,Natural,7,149
R_2PpvbvcItA8LcqM,Natural(7),5.0,Natural,7,149
R_25WvorTEPc7DuHX,Natural(7),5.0,Natural,7,149
R_ZJCIt5D6m80Wim5,Natural(7),1.0,Natural,7,149
R_6gQpeEEoAOw1CNz,Natural(7),5.0,Natural,7,149
R_UcJP3naTdDXJEDn,Natural(7),3.0,Natural,7,149
R_21pKbw8vqrjpJ4Q,Natural(7),5.0,Natural,7,149
